MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
477348300,2024-06-15T17:57:49,37.79587,-122.31449,0.0,107.8,287.0
367771580,2024-06-15T17:57:09,37.80684,-122.44512,0.0,360.0,511.0
319510000,2024-06-15T17:56:10,37.79045,-122.28926,0.0,281.2,91.0
368369320,2024-06-15T17:58:19,37.82138,-122.48036,8.8,240.9,511.0
368340770,2024-06-15T17:58:31,37.76553,-122.28302,0.0,360.0,511.0
367396670,2024-06-15T17:58:49,37.82184,-122.31107,0.0,360.0,511.0
338190748,2024-06-15T17:57:15,37.83967,-122.39511,4.6,358.3,359.0
338309005,2024-06-15T17:57:12,37.90514,-122.37876,5.3,281.5,511.0
368314840,2024-06-15T17:57:19,37.84829,-122.41476,4.4,18.5,27.0
338233486,2024-06-15T17:57:36,37.91235,-122.35120,1.8,126.2,511.0
338398241,2024-06-15T17:56:07,37.75730,-122.30255,2.0,140.8,511.0
366864850,2024-06-15T17:55:56,37.81007,-122.41173,0.0,360.0,165.0
367586360,2024-06-15T17:57:24,37.86939,-122.49673,0.0,211.4,114.0
338238538,2024-06-15T17:57:03,37.83382,-122.39631,3.9,3.4,511.0
338316658,2024-06-15T17:58:30,37.91340,-122.34946,0.0,0.0,8.0
338481341,2024-06-15T17:58:51,37.92339,-122.37285,0.0,360.0,511.0
338428465,2024-06-15T17:58:37,37.87100,-122.46179,0.0,360.0,511.0
367605870,2024-06-15T17:57:22,37.85900,-122.47980,0.0,360.0,511.0
338117512,2024-06-15T17:57:26,37.86406,-122.49127,0.0,0.0,511.0
368060960,2024-06-15T17:56:26,37.90837,-122.38347,0.0,303.1,511.0
338468694,2024-06-15T17:56:28,37.86418,-122.49053,0.0,360.0,511.0
368314840,2024-06-15T17:56:18,37.84706,-122.41515,4.7,10.0,16.0
366999891,2024-06-15T17:57:40,37.83288,-122.47762,0.0,360.0,511.0
338146074,2024-06-15T17:57:42,37.84789,-122.39454,6.7,1.0,511.0
338472563,2024-06-15T17:56:00,37.86862,-122.49691,0.0,360.0,511.0
368088590,2024-06-15T17:56:19,37.86400,-122.40744,33.5,344.6,343.0
357441000,2024-06-15T17:57:47,37.75052,-122.34363,0.0,74.0,158.0
338169735,2024-06-15T17:56:15,37.90810,-122.38138,3.9,65.6,511.0
367776410,2024-06-15T17:57:23,37.81629,-122.37309,0.1,44.6,511.0
366969980,2024-06-15T17:57:45,37.86871,-122.43533,0.1,296.7,336.0
338209242,2024-06-15T17:56:12,37.87248,-122.45635,0.2,155.5,511.0
232014181,2024-06-15T17:57:47,37.87855,-122.50558,2.1,139.7,511.0
367369720,2024-06-15T17:57:20,37.90566,-122.37194,0.0,23.2,241.0
368278830,2024-06-15T17:56:10,37.79232,-122.28346,0.0,201.9,268.0
369225000,2024-06-15T17:56:34,37.92229,-122.41074,0.1,150.7,323.0
338096000,2024-06-15T17:56:42,37.89080,-122.39590,9.9,177.3,511.0
368178440,2024-06-15T17:56:29,37.76681,-122.28454,0.0,43.2,511.0
366976780,2024-06-15T17:56:37,37.80903,-122.41071,0.0,360.0,511.0
338494373,2024-06-15T17:57:58,37.73469,-122.31811,0.2,150.3,511.0
338131759,2024-06-15T17:56:35,37.78006,-122.38567,0.0,66.5,511.0
368260830,2024-06-15T17:57:49,37.79234,-122.28442,0.0,267.2,177.0
367108460,2024-06-15T17:57:28,37.92395,-122.37268,0.0,317.5,511.0
368248520,2024-06-15T17:58:04,37.79099,-122.29739,2.2,95.9,92.0
367108460,2024-06-15T17:56:17,37.92394,-122.37269,0.0,263.6,511.0
368260830,2024-06-15T17:56:48,37.79233,-122.28441,0.0,267.2,177.0
367770220,2024-06-15T17:55:49,37.78741,-122.26838,4.8,313.1,511.0
368053480,2024-06-15T17:58:18,37.91410,-122.35199,0.0,360.0,511.0
338238538,2024-06-15T17:58:32,37.83595,-122.39644,5.4,358.4,511.0
368003290,2024-06-15T17:57:56,37.82190,-122.43748,7.5,163.7,511.0
368341690,2024-06-15T17:57:51,37.80931,-122.41262,0.0,125.6,142.0
367768090,2024-06-15T17:58:26,37.87456,-122.40600,5.5,4.9,511.0
368181770,2024-06-15T17:57:56,37.91185,-122.34916,0.0,33.1,511.0
368243190,2024-06-15T17:57:59,37.77580,-122.24859,0.0,0.0,511.0
367671130,2024-06-15T17:57:52,37.86421,-122.48728,0.0,0.0,511.0
366862670,2024-06-15T17:58:09,37.70001,-122.32571,0.3,150.4,511.0
367770220,2024-06-15T17:57:19,37.78873,-122.27026,4.8,305.6,511.0
338231072,2024-06-15T17:58:53,37.91172,-122.34655,0.0,360.0,511.0
354162000,2024-06-15T17:58:14,37.79408,-122.29149,0.0,187.8,254.0
416465000,2024-06-15T17:58:48,37.81067,-122.32583,0.1,136.0,278.0
338424526,2024-06-15T17:58:48,37.84002,-122.39653,5.1,353.1,511.0
366866080,2024-06-15T17:57:04,37.80691,-122.44288,0.0,360.0,267.0
367107280,2024-06-15T17:56:54,37.86785,-122.31428,0.0,360.0,511.0
367152240,2024-06-15T17:59:01,37.80675,-122.40412,0.0,149.4,511.0
338244579,2024-06-15T17:58:27,37.78290,-122.26233,1.3,224.0,250.0
338310494,2024-06-15T17:58:32,37.78610,-122.26949,0.0,360.0,511.0
366969970,2024-06-15T17:58:46,37.94532,-122.50872,0.0,136.2,317.0
367108460,2024-06-15T17:58:37,37.92394,-122.37269,0.0,48.7,511.0
338201659,2024-06-15T17:58:31,37.85821,-122.48017,0.0,16.0,511.0
366904000,2024-06-15T17:58:53,37.74997,-122.33434,0.0,253.6,148.0
367338290,2024-06-15T17:58:40,37.80700,-122.40431,0.0,176.6,511.0
366864850,2024-06-15T17:58:15,37.81007,-122.41173,0.0,360.0,165.0
338460698,2024-06-15T17:57:19,37.85273,-122.36357,2.1,326.5,511.0
368144290,2024-06-15T17:58:36,37.91795,-122.36445,0.0,3.0,118.0
338190748,2024-06-15T17:58:46,37.84177,-122.39527,5.9,356.4,353.0
338469881,2024-06-15T17:58:19,37.85020,-122.39627,7.1,0.2,358.0
338332477,2024-06-15T17:57:44,37.90444,-122.37671,7.3,94.0,511.0
338210857,2024-06-15T17:58:41,37.81459,-122.39409,9.6,293.4,511.0
338469881,2024-06-15T17:59:21,37.85205,-122.39643,6.3,351.5,355.0
366742520,2024-06-15T17:58:36,37.84960,-122.47288,0.6,328.2,511.0
368171990,2024-06-15T17:57:22,37.92113,-122.40875,0.0,155.8,143.0
338243303,2024-06-15T17:59:33,37.87103,-122.49603,0.0,360.0,83.0
367027000,2024-06-15T17:57:12,37.86505,-122.49350,0.0,360.0,511.0
338427575,2024-06-15T17:58:28,37.85932,-122.45431,2.0,47.2,511.0
338208292,2024-06-15T17:59:23,37.86758,-122.43667,1.0,360.0,511.0
338468694,2024-06-15T17:59:28,37.86416,-122.49051,0.0,360.0,511.0
338355544,2024-06-15T17:58:13,37.86399,-122.44783,3.1,40.8,511.0
368161020,2024-06-15T17:57:31,37.76614,-122.28613,0.0,179.5,201.0
372724000,2024-06-15T17:57:44,37.81126,-122.32196,0.0,137.1,41.0
338486373,2024-06-15T17:58:39,37.73240,-122.30926,0.2,148.5,511.0
338169735,2024-06-15T17:58:34,37.90977,-122.37980,2.3,11.6,511.0
367799820,2024-06-15T17:57:30,37.92544,-122.41288,0.0,36.4,143.0
366778450,2024-06-15T17:57:35,37.92607,-122.46541,39.6,301.7,304.0
368160380,2024-06-15T17:57:11,37.78394,-122.26423,0.0,360.0,511.0
367178390,2024-06-15T17:59:27,37.79138,-122.27475,5.3,299.8,511.0
338125577,2024-06-15T17:58:34,37.83818,-122.39669,4.2,357.9,354.0
366961920,2024-06-15T17:58:43,37.79822,-122.39401,0.0,185.6,511.0
338192559,2024-06-15T17:57:04,37.78051,-122.25456,0.0,360.0,511.0
338429201,2024-06-15T17:58:44,37.83814,-122.31112,0.0,360.0,511.0
367002980,2024-06-15T17:57:41,37.87253,-122.45568,0.0,0.0,511.0
368164150,2024-06-15T17:58:45,37.86448,-122.48777,0.0,49.0,511.0
367417740,2024-06-15T17:58:50,37.84130,-122.33607,6.7,259.3,511.0
338143254,2024-06-15T17:57:50,37.78099,-122.38592,0.0,352.2,511.0
367425230,2024-06-15T17:58:03,37.78142,-122.38651,0.0,165.0,511.0
368018070,2024-06-15T17:58:43,37.79118,-122.29452,0.0,144.5,80.0
338402907,2024-06-15T17:58:56,37.87064,-122.49943,0.0,360.0,511.0
338231129,2024-06-15T17:58:02,37.91068,-122.34928,4.7,263.1,254.0
368248520,2024-06-15T17:59:12,37.79097,-122.29682,1.2,92.4,91.0
367303000,2024-06-15T17:59:07,37.77401,-122.24170,0.0,121.0,153.0
368341690,2024-06-15T17:59:54,37.81027,-122.41359,5.9,37.8,38.0
368282130,2024-06-15T17:58:02,37.86549,-122.31419,0.0,360.0,511.0
338227743,2024-06-15T17:59:23,37.78642,-122.26965,0.0,360.0,511.0
338322294,2024-06-15T17:57:08,37.79273,-122.30187,5.8,100.7,511.0
